order_item_id,transaction_id,product_id,quantity,price
1,1,5,5,4.36
2,2,12,5,5.06
3,3,12,5,5.06
4,4,14,2,4.33
5,5,13,1,3.41
6,6,6,3,3.51
7,7,20,1,5.96
8,8,19,4,3.74
9,9,13,4,3.41
10,10,5,2,4.36
11,11,3,5,2.83
12,12,8,3,4.66
13,13,20,3,5.96
14,14,5,2,4.36
15,15,21,1,4.82
16,16,16,3,4.89
17,17,19,1,3.74
18,18,1,3,6.17
19,19,21,4,4.82
20,20,9,8,3.04
21,21,2,1,4.32
22,22,2,3,4.32
23,23,13,5,3.41
24,24,7,3,3.43
25,25,18,5,5.14
26,26,6,5,3.51
27,27,3,5,2.83
28,28,22,4,6.38
29,29,7,4,3.43
30,30,13,3,3.41
31,31,23,4,3.63
32,32,20,4,5.96
33,33,11,3,3.7
34,34,26,4,6.48
35,35,12,4,5.06
36,36,9,5,3.04
37,37,13,4,3.41
38,38,7,1,3.43
39,39,14,4,4.33
40,40,19,4,3.74
41,41,9,1,3.04
42,42,9,1,3.04
43,43,26,4,6.48
44,44,12,2,5.06
45,45,19,1,3.74
46,46,19,1,3.74
47,47,19,4,3.74
48,48,20,5,5.96
49,49,26,2,6.48
50,50,3,5,2.83
51,51,14,3,4.33
52,52,3,2,2.83
53,53,15,1,3.78
54,54,1,2,6.17
55,55,20,4,5.96
56,56,7,3,3.43
57,57,23,5,3.63
58,58,14,1,4.33
59,59,4,5,5.53
60,60,9,8,3.04
61,61,24,3,2.96
62,62,22,1,6.38
63,63,1,4,6.17
64,64,21,4,4.82
65,65,7,4,3.43
66,66,16,1,4.89
67,67,16,1,4.89
68,68,26,2,6.48
69,69,11,5,3.7
70,70,4,1,5.53
71,71,19,2,3.74
72,72,6,1,3.51
73,73,6,3,3.51
74,74,6,5,3.51
75,75,3,5,2.83
76,76,10,5,3.41
77,77,10,1,3.41
78,78,16,5,4.89
79,79,2,1,4.32
80,80,8,5,4.66
81,81,22,3,6.38
82,82,16,5,4.89
83,83,8,1,4.66
84,84,10,1,3.41
85,85,8,4,4.66
86,86,10,5,3.41
87,87,11,1,3.7
88,88,26,2,6.48
89,89,7,2,3.43
90,90,16,1,4.89
91,91,1,3,6.17
92,92,14,4,4.33
93,93,6,4,3.51
94,94,21,4,4.82
95,95,8,3,4.66
96,96,13,4,3.41
97,97,3,2,2.83
98,98,22,3,6.38
99,99,7,3,3.43
100,100,6,2,3.51
101,101,23,3,3.63
102,102,9,2,3.04
103,103,3,4,2.83
104,104,8,2,4.66
105,105,6,1,3.51
106,106,16,5,4.89
107,107,9,3,3.04
108,108,15,3,3.78
109,109,6,1,3.51
110,110,23,2,3.63
111,111,16,5,4.89
112,112,11,4,3.7
113,113,20,2,5.96
114,114,24,3,2.96
115,115,1,3,6.17
116,116,8,3,4.66
117,117,26,2,6.48
118,118,13,3,3.41
119,119,11,3,3.7
120,120,24,4,2.96
121,121,7,1,3.43
122,122,24,3,2.96
123,123,19,4,3.74
124,124,22,5,6.38
125,125,16,4,4.89
126,126,21,3,4.82
127,127,18,4,5.14
128,128,3,5,2.83
129,129,6,3,3.51
130,130,23,2,3.63
131,131,3,4,2.83
132,132,19,2,3.74
133,133,14,5,4.33
134,134,8,4,4.66
135,135,20,5,5.96
136,136,9,2,3.04
137,137,12,5,5.06
138,138,16,2,4.89
139,139,23,3,3.63
140,140,2,5,4.32
141,141,8,3,4.66
142,142,15,4,3.78
143,143,13,3,3.41
144,144,4,1,5.53
145,145,19,1,3.74
146,146,14,3,4.33
147,147,11,2,3.7
148,148,13,5,3.41
149,149,7,1,3.43
150,150,24,4,2.96
151,151,1,5,6.17
152,152,24,1,2.96
153,153,6,4,3.51
154,154,15,4,3.78
155,155,19,3,3.74
156,156,20,4,5.96
157,157,14,1,4.33
158,158,8,3,4.66
159,159,4,2,5.53
160,160,21,1,4.82
161,161,14,1,4.33
162,162,12,4,5.06
163,163,26,3,6.48
164,164,16,4,4.89
165,165,9,4,3.04
166,166,21,5,4.82
167,167,6,1,3.51
168,168,14,2,4.33
169,169,24,2,2.96
170,170,7,4,3.43
171,171,26,3,6.48
172,172,24,4,2.96
173,173,11,1,3.7
174,174,17,2,3.59
175,175,6,5,3.51
176,176,8,1,4.66
177,177,6,2,3.51
178,178,26,5,6.48
179,179,17,1,3.59
180,180,10,1,3.41
181,181,2,1,4.32
182,182,8,3,4.66
183,183,12,5,5.06
184,184,9,4,3.04
185,185,1,1,6.17
186,186,23,5,3.63
187,187,19,4,3.74
188,188,19,5,3.74
189,189,11,2,3.7
190,190,9,4,3.04
191,191,22,1,6.38
192,192,6,3,3.51
193,193,12,2,5.06
194,194,20,2,5.96
195,195,6,4,3.51
196,196,21,5,4.82
197,197,15,5,3.78
198,198,17,3,3.59
199,199,14,3,4.33
200,200,16,5,4.89
201,201,14,2,4.33
202,202,16,4,4.89
203,203,18,2,5.14
204,204,15,2,3.78
205,205,24,5,2.96
206,206,21,5,4.82
207,207,16,1,4.89
208,208,5,1,4.36
209,209,4,3,5.53
210,210,24,2,2.96
211,211,3,5,2.83
212,212,18,1,5.14
213,213,1,3,6.17
214,214,13,5,3.41
215,215,18,4,5.14
216,216,20,5,5.96
217,217,21,2,4.82
218,218,9,5,3.04
219,219,19,3,3.74
220,220,13,3,3.41
221,221,20,1,5.96
222,222,19,1,3.74
223,223,26,3,6.48
224,224,6,4,3.51
225,225,23,2,3.63
226,226,10,5,3.41
227,227,8,1,4.66
228,228,10,2,3.41
229,229,18,1,5.14
230,230,5,5,4.36
231,231,22,5,6.38
232,232,13,5,3.41
233,233,4,4,5.53
234,234,17,2,3.59
235,235,18,5,5.14
236,236,7,1,3.43
237,237,7,1,3.43
238,238,23,5,3.63
239,239,11,2,3.7
240,240,5,5,4.36
241,241,20,3,5.96
242,242,17,5,3.59
243,243,2,4,4.32
244,244,19,2,3.74
245,245,2,1,4.32
246,246,2,1,4.32
247,247,11,3,3.7
248,248,7,3,3.43
249,249,23,5,3.63
250,250,7,5,3.43
251,251,24,2,2.96
252,252,5,4,4.36
253,253,1,3,6.17
254,254,14,5,4.33
255,255,24,4,2.96
256,256,2,5,4.32
257,257,6,3,3.51
258,258,16,2,4.89
259,259,15,4,3.78
260,260,4,2,5.53
261,261,12,4,5.06
262,262,23,5,3.63
263,263,17,5,3.59
264,264,10,1,3.41
265,265,9,3,3.04
266,266,14,4,4.33
